INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-16', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-17', 3500);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-18', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-19', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-20', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-21', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-22', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-23', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-24', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-25', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-26', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-27', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-28', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-29', 3200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'chennai', '2021-04-30', 3200);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-16', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-17', 3700);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-18', 3650);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-19', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-20', 3600);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-21', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-22', 3550);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-23', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-24', 3400);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-25', 3350);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-26', 3300);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-27', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-28', 3250);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-29', 3200);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'kolkata', '2021-04-30', 3200);

INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-16', 4000);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-17', 3900);
INSERT INTO `flights` (`Arrival`, `Departure`, `Date`, `price`) VALUES ('delhi', 'mumbai', '2021-04-18', 3850);
